Code;Name in official language(s);Name in English;As a Swiss canton since;Capital;GDP (2020)[21];GDP per;Population;Area (km2);Density;No. munic. (2018)[23];Official languages
ZH;Zürich;Zürich;1351;Zürich;149,004;96,359;1,553,423;1,729;898;166;German
BE;"Bern; Berne";Bern / Berne;1353;Bern;80,209;77,027;1,043,132;5,96;175;347;German, French
LU;Luzern;Lucerne;1332;Lucerne;28,176;67,936;416,347;1,494;279;83;German
UR;Uri;Uri;1291;Altdorf;1,985;54,006;36,819;1,077;34;20;German
SZ;Schwyz;Schwyz;1291;Schwyz;9,876;61,223;162,157;908;179;30;German
OW;Obwalden;Obwalden / Obwald;1291;Sarnen;2,564;67,453;38,108;491;78;7;German
NW;Nidwalden;Nidwalden / Nidwald;1291;Stans;2,867;66,209;43,52;276;158;11;German
GL;Glarus;Glarus;1352;Glarus;2,763;67,849;40,851;685;60;3;German
ZG;Zug;Zug / Zoug;1352;Zug;20,029;156,21;128,794;239;539;11;German
FR;"Fribourg; Freiburg";Fribourg / Freiburg;1481;Fribourg;19,18;59,263;325,496;1,671;195;136;French, German
SO;Solothurn;Solothurn / Soleure;1481;Solothurn;18,029;65,237;277,462;790;351;109;German
BS;Basel-Stadt;Basel-Stadt / Basel-City;1501 (as Basel until 1833/1999);Basel;37,168;189,354;201,156;37;5,444;3;German
BL;Basel-Landschaft;Basel-Landschaft / Basel-Country;1501 (as Basel until 1833/1999);Liestal;20,567;70,866;292,955;518;566;86;German
SH;Schaffhausen;Schaffhausen / Schaffhouse;1501;Schaffhausen;7,244;87,569;83,107;298;278;26;German
AR;Appenzell Ausserrhoden;Appenzell Ausserrhoden / Appenzell Outer-Rhodes;1513 (as Appenzell until 1597/1999);Herisau[note 7];3,19;57,601;55,309;243;228;20;German
AI;Appenzell Innerrhoden;Appenzell Innerrhoden / Appenzell Inner-Rhodes;1513 (as Appenzell until 1597/1999);Appenzell;1,043;64,358;16,293;172;94;6;German
SG;St. Gallen;St. Gallen / St. Gall;1803;St. Gallen;38,041;74,21;514,504;2,031;253;77;German
GR;"Graubünden; Grischun; Grigioni";Grisons / Graubünden;1803;Chur;14,519;72,754;200,096;7,105;28;108;German, Romansh, Italian
AG;Aargau;Aargau;1803;Aarau;43,59;63,177;694,072;1,404;494;212;German
TG;Thurgau;Thurgau / Thurgovia;1803;Frauenfeld[note 12];17,208;61,19;282,909;992;285;80;German
TI;Ticino;Ticino / Tessin;1803;Bellinzona;29,311;83,45;350,986;2,812;125;115;Italian
VD;Vaud;Vaud;1803;Lausanne;56,898;70,25;814,762;3,212;254;309;French
VS;"Valais; Wallis";Valais;1815;Sion;19,194;55,313;348,503;5,224;67;126;French, German
NE;Neuchâtel;Neuchâtel;1815/1857;Neuchâtel;15,343;87,08;175,894;802;219;31;French
GE;Genève;Geneva;1815;Geneva;51,976;102,876;506,343;282;1,792;45;French
JU;Jura;Jura;1979;Delémont;4,687;63,643;73,709;839;88;55;French
